SEQ|Selection|Species|Author|Family|Genus|MatchType|Backbone|SID|scientificFinal|scientificNameAuthorship|taxonomicStatus|SynonymBackbone|SynonymSID|SpeciesWCUPS|MatchTypeWCUPS|BackboneWCUPS|SIDWCUPS
3336|GTS|Conostegia xalapensis|(Bonpl.) D. Don ex DC.|Melastomataceae|Conostegia|direct|WFO|wfo-0001233239|Conostegia xalapensis|D.Don|ACCEPTED|""|""|Conostegia xalapensis|direct|WFO|wfo-0001233239
3337|GTS|Conyza vernonioides|(Sch.Bip. ex A.Rich.) Wild|Asteraceae|Conyza|direct|WFO|wfo-0000025225|Nidorella vernonioides|Sch.Bip. ex A.Rich.|ACCEPTED|WFO|wfo-0000014910|Nidorella vernonioides|direct|WFO|wfo-0000025225
3338|GTS|Conzattia multiflora|(B.L.Rob.) Standl.|Fabaceae|Conzattia|direct|WFO|wfo-0000165624|Conzattia multiflora|(B.L.Rob.) Standl.|ACCEPTED|""|""|Conzattia multiflora|direct|WFO|wfo-0000165624
3339|GTS|Copaifera aromatica|Dwyer|Fabaceae|Copaifera|direct|WFO|wfo-0000165626|Copaifera aromatica|Dwyer|ACCEPTED|""|""|Copaifera aromatica|direct|WFO|wfo-0000165626
3340|GTS|Copaifera cearensis|Huber ex Ducke|Fabaceae|Copaifera|direct|WFO|wfo-0000165633|Copaifera duckei|Dwyer|ACCEPTED|WFO|wfo-0000165631|Copaifera duckei|direct|WFO|wfo-0000165633
3341|GTS|Copaifera coriacea|Mart.|Fabaceae|Copaifera|direct|WFO|wfo-0000183506|Copaifera coriacea|Mart.|ACCEPTED|""|""|Copaifera coriacea|direct|WFO|wfo-0000183506
3342|GTS|Copaifera duckei|Dwyer|Fabaceae|Copaifera|direct|WFO|wfo-0000165633|Copaifera duckei|Dwyer|ACCEPTED|""|""|Copaifera duckei|direct|WFO|wfo-0000165633
3343|GTS|Copaifera guianensis|Desf.|Fabaceae|Copaifera|manual|WFO|wfo-0000165637|Copaifera guyanensis|Desf.|ACCEPTED|""|""|Copaifera guianensis|manual|WFO|wfo-0000165637
3344|GTS|Copaifera langsdorffii|Desf.|Fabaceae|Copaifera|direct|WFO|wfo-0000165642|Copaifera langsdorffii|Desf.|ACCEPTED|""|""|Copaifera langsdorffii|direct|WFO|wfo-0000165642
3345|GTS|Copaifera lucens|Dwyer|Fabaceae|Copaifera|direct|WFO|wfo-0000165643|Copaifera lucens|Dwyer|ACCEPTED|""|""|Copaifera lucens|direct|WFO|wfo-0000165643
3346|GTS|Copaifera martii|Hayne|Fabaceae|Copaifera|direct|WFO|wfo-0000183507|Copaifera martii|Hayne|ACCEPTED|""|""|Copaifera martii|direct|WFO|wfo-0000183507
3347|GTS|Copaifera mildbraedii|Harms|Fabaceae|Copaifera|direct|WFO|wfo-0000165200|Copaifera mildbraedii|Harms|ACCEPTED|""|""|Copaifera mildbraedii|direct|WFO|wfo-0000165200
3348|GTS|Copaifera multijuga|Hayne|Fabaceae|Copaifera|direct|WFO|wfo-0000165650|Copaifera multijuga|Hayne|ACCEPTED|""|""|Copaifera multijuga|direct|WFO|wfo-0000165650
3349|GTS|Copaifera oblongifolia|Mart. ex Hayne|Fabaceae|Copaifera|direct|WFO|wfo-0000165651|Copaifera oblongifolia|Mart.|ACCEPTED|""|""|Copaifera oblongifolia|direct|WFO|wfo-0000165651
3350|GTS|Copaifera officinalis|L.|Fabaceae|Copaifera|direct|WFO|wfo-0000165230|Copaifera officinalis|L.|ACCEPTED|""|""|Copaifera officinalis|direct|WFO|wfo-0000165230
3351|GTS|Copaifera paupera|(Herzog) Dwyer|Fabaceae|Copaifera|direct|WFO|wfo-0000165653|Copaifera paupera|(Herzog) Dwyer|ACCEPTED|""|""|Copaifera paupera|direct|WFO|wfo-0000165653
3352|GTS|Copaifera pubiflora|Benth.|Fabaceae|Copaifera|direct|WFO|wfo-0000165655|Copaifera pubiflora|Benth.|ACCEPTED|""|""|Copaifera pubiflora|direct|WFO|wfo-0000165655
3353|GTS|Copaifera religiosa|J.Léonard|Fabaceae|Copaifera|direct|WFO|wfo-0000165239|Copaifera religiosa|J.Léonard|ACCEPTED|""|""|Copaifera religiosa|direct|WFO|wfo-0000165239
3354|GTS|Copaifera reticulata|Ducke|Fabaceae|Copaifera|direct|WFO|wfo-0000165656|Copaifera reticulata|Ducke|ACCEPTED|""|""|Copaifera reticulata|direct|WFO|wfo-0000165656
3355|GTS|Copaifera salikounda|Heckel|Fabaceae|Copaifera|direct|WFO|wfo-0000165260|Copaifera salikounda|Heckel|ACCEPTED|""|""|Copaifera salikounda|direct|WFO|wfo-0000165260
3356|GTS|Copaifera trapezifolia|Hayne|Fabaceae|Copaifera|direct|WFO|wfo-0000165659|Copaifera trapezifolia|Hayne|ACCEPTED|""|""|Copaifera trapezifolia|direct|WFO|wfo-0000165659
3357|GTS|Copernicia alba|Morong|Arecaceae|Copernicia|direct|WFO|wfo-0000921199|Copernicia alba|Morong|ACCEPTED|""|""|Copernicia alba|direct|WFO|wfo-0000921199
3358|GTS|Copernicia baileyana|León|Arecaceae|Copernicia|direct|WFO|wfo-0000921214|Copernicia baileyana|León|ACCEPTED|""|""|Copernicia baileyana|direct|WFO|wfo-0000921214
3359|GTS|Copernicia berteroana|Becc.|Arecaceae|Copernicia|direct|WFO|wfo-0000921252|Copernicia berteroana|Becc.|ACCEPTED|""|""|Copernicia berteroana|direct|WFO|wfo-0000921252
3360|GTS|Copernicia gigas|Ekman ex Burret|Arecaceae|Copernicia|direct|WFO|wfo-0000921454|Copernicia gigas|Ekman ex Burret|ACCEPTED|""|""|Copernicia gigas|direct|WFO|wfo-0000921454
3361|GTS|Copernicia prunifera|(Mill.) H.E.Moore|Arecaceae|Copernicia|direct|WFO|wfo-0000921608|Copernicia prunifera|(Mill.) H.E.Moore|ACCEPTED|""|""|Copernicia prunifera|direct|WFO|wfo-0000921608
3362|GTS|Copernicia rigida|Britton & P.Wilson|Arecaceae|Copernicia|direct|WFO|wfo-0000921636|Copernicia rigida|Britton & P.Wilson|ACCEPTED|""|""|Copernicia rigida|direct|WFO|wfo-0000921636
3363|GTS|Coprosma foetidissima|J.R.Forst. & G.Forst.|Rubiaceae|Coprosma|direct|WFO|wfo-0000922516|Coprosma foetidissima|J.R.Forst. & G.Forst.|ACCEPTED|""|""|Coprosma foetidissima|direct|WFO|wfo-0000922516
3364|GTS|Coprosma lucida|J.R.Forst. & G.Forst.|Rubiaceae|Coprosma|direct|WFO|wfo-0000922773|Coprosma lucida|J.R.Forst. & G.Forst.|ACCEPTED|""|""|Coprosma lucida|direct|WFO|wfo-0000922773
3365|GTS|Coprosma parviflora|Hook.f.|Rubiaceae|Coprosma|direct|WFO|wfo-0000923140|Coprosma parviflora|Hook.f.|ACCEPTED|""|""|Coprosma parviflora|direct|WFO|wfo-0000923140
3366|GTS|Coprosma persicifolia|A.Gray|Rubiaceae|Coprosma|direct|WFO|wfo-0000923246|Coprosma persicifolia|A.Gray|ACCEPTED|""|""|Coprosma persicifolia|direct|WFO|wfo-0000923246
3367|GTS|Coprosma propinqua|A.Cunn.|Rubiaceae|Coprosma|direct|WFO|wfo-0000923330|Coprosma propinqua|A.Cunn.|ACCEPTED|""|""|Coprosma propinqua|direct|WFO|wfo-0000923330
3368|GTS|Coprosma repens|A.Rich.|Rubiaceae|Coprosma|direct|WFO|wfo-0000923570|Coprosma repens|A.Rich.|ACCEPTED|""|""|Coprosma repens|direct|WFO|wfo-0000923570
3369|GTS|Coprosma robusta|Raoul|Rubiaceae|Coprosma|direct|WFO|wfo-0000923682|Coprosma robusta|Raoul|ACCEPTED|""|""|Coprosma robusta|direct|WFO|wfo-0000923682
3370|GTS|Coprosma rotundifolia|A.Cunn.|Rubiaceae|Coprosma|direct|WFO|wfo-0000923684|Coprosma rotundifolia|A.Cunn.|ACCEPTED|""|""|Coprosma rotundifolia|direct|WFO|wfo-0000923684
3371|GTS|Coptosperma borbonicum|(Hend. & Andr.Hend.) De Block|Rubiaceae|Coptosperma|direct|WFO|wfo-0000808320|Coptosperma borbonicum|(Hend. & Andr.Hend.) De Block|ACCEPTED|""|""|Coptosperma borbonicum|direct|WFO|wfo-0000808320
3372|GTS|Coptosperma graveolens|(S.Moore) Degreef|Rubiaceae|Coptosperma|direct|WFO|wfo-0000336089|Coptosperma graveolens|(S.Moore) Degreef|ACCEPTED|""|""|Coptosperma graveolens|direct|WFO|wfo-0000336089
3373|GTS|Coptosperma madagascariense|(Baill.) De Block|Rubiaceae|Coptosperma|direct|WFO|wfo-0000808324|Coptosperma madagascariense|(Baill.) De Block|ACCEPTED|""|""|Coptosperma madagascariense|direct|WFO|wfo-0000808324
3374|GTS|Coptosperma supra-axillare|(Hemsl.) Degreef|Rubiaceae|Coptosperma|direct|WFO|wfo-0000336099|Coptosperma supra-axillare|(Hemsl.) Degreef|ACCEPTED|""|""|Coptosperma supra-axillare|direct|WFO|wfo-0000336099
3375|GTS|Cordeauxia edulis|Hemsl.|Fabaceae|Cordeauxia|direct|WFO|wfo-0000165271|Cordeauxia edulis|Hemsl.|ACCEPTED|""|""|Cordeauxia edulis|direct|WFO|wfo-0000165271
3376|GTS|Cordia africana|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000620224|Cordia africana|Lam.|ACCEPTED|""|""|Cordia africana|direct|WFO|wfo-0000620224
3377|GTS|Cordia alliodora|(Ruiz & Pav.) Oken|Boraginaceae|Cordia|direct|WFO|wfo-0000620227|Cordia alliodora|(Ruiz & Pav.) Oken|ACCEPTED|""|""|Cordia alliodora|direct|WFO|wfo-0000620227
3378|GTS|Cordia americana|(L.) Gottschling & J.S.Mill.|Boraginaceae|Cordia|direct|WFO|wfo-0000620236|Cordia americana|(L.) Gottschling & J.S.Mill.|ACCEPTED|""|""|Cordia americana|direct|WFO|wfo-0000620236
3379|GTS|Cordia aspera|G.Forst.|Boraginaceae|Cordia|direct|WFO|wfo-0000620252|Cordia aspera|G.Forst.|ACCEPTED|""|""|Cordia aspera|direct|WFO|wfo-0000620252
3380|GTS|Cordia aurantiaca|Baker|Boraginaceae|Cordia|direct|WFO|wfo-0000620261|Cordia aurantiaca|Baker|ACCEPTED|""|""|Cordia aurantiaca|direct|WFO|wfo-0000620261
3381|GTS|Cordia boissieri|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000620288|Cordia boissieri|A.DC.|ACCEPTED|""|""|Cordia boissieri|direct|WFO|wfo-0000620288
3382|GTS|Cordia caffra|Sond.|Boraginaceae|Cordia|direct|WFO|wfo-0000620322|Cordia caffra|Sond.|ACCEPTED|""|""|Cordia caffra|direct|WFO|wfo-0000620322
3383|GTS|Cordia collococca|L.|Boraginaceae|Cordia|direct|WFO|wfo-0000620368|Cordia collococca|L.|ACCEPTED|""|""|Cordia collococca|direct|WFO|wfo-0000620368
3384|GTS|Cordia dentata|Poir.|Boraginaceae|Cordia|direct|WFO|wfo-0000620413|Cordia dentata|Poir.|ACCEPTED|""|""|Cordia dentata|direct|WFO|wfo-0000620413
3385|GTS|Cordia dichotoma|G.Forst.|Boraginaceae|Cordia|direct|WFO|wfo-0000620417|Cordia dichotoma|G.Forst.|ACCEPTED|""|""|Cordia dichotoma|direct|WFO|wfo-0000620417
3386|GTS|Cordia dodecandra|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000620429|Cordia dodecandra|DC.|ACCEPTED|""|""|Cordia dodecandra|direct|WFO|wfo-0000620429
3387|GTS|Cordia ecalyculata|Vell.|Boraginaceae|Cordia|direct|WFO|wfo-0000620441|Cordia ecalyculata|Vell.|ACCEPTED|""|""|Cordia ecalyculata|direct|WFO|wfo-0000620441
3388|GTS|Cordia elaeagnoides|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000620447|Cordia elaeagnoides|A.DC.|ACCEPTED|""|""|Cordia elaeagnoides|direct|WFO|wfo-0000620447
3389|GTS|Cordia elliptica|Sw.|Boraginaceae|Cordia|direct|WFO|wfo-0000620449|Cordia elliptica|Sw.|ACCEPTED|""|""|Cordia elliptica|direct|WFO|wfo-0000620449
3390|GTS|Cordia exaltata|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000620458|Cordia exaltata|Lam.|ACCEPTED|""|""|Cordia exaltata|direct|WFO|wfo-0000620458
3391|GTS|Cordia fragrantissima|Kurz|Boraginaceae|Cordia|direct|WFO|wfo-0000620484|Cordia fragrantissima|Kurz|ACCEPTED|""|""|Cordia fragrantissima|direct|WFO|wfo-0000620484
3392|GTS|Cordia gerascanthus|L.|Boraginaceae|Cordia|direct|WFO|wfo-0000620498|Cordia gerascanthus|L.|ACCEPTED|""|""|Cordia gerascanthus|direct|WFO|wfo-0000620498
3393|GTS|Cordia goeldiana|Huber|Boraginaceae|Cordia|direct|WFO|wfo-0000620529|Cordia goeldiana|Huber|ACCEPTED|""|""|Cordia goeldiana|direct|WFO|wfo-0000620529
3394|GTS|Cordia grandis|Roxb.|Boraginaceae|Cordia|direct|WFO|wfo-0000620538|Cordia grandis|Roxb.|ACCEPTED|""|""|Cordia grandis|direct|WFO|wfo-0000620538
3395|GTS|Cordia incognita|Gottschling & J.S.Mill.|Boraginaceae|Cordia|direct|WFO|wfo-0000620598|Cordia incognita|Gottschling & J.S.Mill.|ACCEPTED|""|""|Cordia incognita|direct|WFO|wfo-0000620598
3396|GTS|Cordia kingstoniana|J.S.Mill.|Boraginaceae|Cordia|direct|WFO|wfo-0000620625|Cordia kingstoniana|J.S.Mill.|ACCEPTED|""|""|Cordia kingstoniana|direct|WFO|wfo-0000620625
3397|GTS|Cordia lasiocalyx|Pittier|Boraginaceae|Cordia|direct|WFO|wfo-0000620642|Cordia lasiocalyx|Pittier|ACCEPTED|""|""|Cordia lasiocalyx|direct|WFO|wfo-0000620642
3398|GTS|Cordia lutea|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000620697|Cordia lutea|Lam.|ACCEPTED|""|""|Cordia lutea|direct|WFO|wfo-0000620697
3399|GTS|Cordia macleodii|(Griff.) Hook.f. & Thomson|Boraginaceae|Cordia|direct|WFO|wfo-0000620698|Cordia macleodii|Hook.f. & Thomson|ACCEPTED|""|""|Cordia macleodii|direct|WFO|wfo-0000620698
3400|GTS|Cordia macrophylla|L.|Boraginaceae|Cordia|direct|WFO|wfo-0000620703|Cordia macrophylla|L.|ACCEPTED|""|""|Cordia macrophylla|direct|WFO|wfo-0000620703
3401|GTS|Cordia millenii|Baker|Boraginaceae|Cordia|direct|WFO|wfo-0000620742|Cordia millenii|Baker|ACCEPTED|""|""|Cordia millenii|direct|WFO|wfo-0000620742
3402|GTS|Cordia monoica|Roxb.|Boraginaceae|Cordia|direct|WFO|wfo-0000620753|Cordia monoica|Roxb.|ACCEPTED|""|""|Cordia monoica|direct|WFO|wfo-0000620753
3403|GTS|Cordia morelosana|Standl.|Boraginaceae|Cordia|direct|WFO|wfo-0000620756|Cordia morelosana|Standl.|ACCEPTED|""|""|Cordia morelosana|direct|WFO|wfo-0000620756
3404|GTS|Cordia myxa|L.|Boraginaceae|Cordia|direct|WFO|wfo-0000620765|Cordia myxa|L.|ACCEPTED|""|""|Cordia myxa|direct|WFO|wfo-0000620765
3405|GTS|Cordia nodosa|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000620784|Cordia nodosa|Lam.|ACCEPTED|""|""|Cordia nodosa|direct|WFO|wfo-0000620784
3406|GTS|Cordia obovata|Balf.f.|Boraginaceae|Cordia|direct|WFO|wfo-0000620795|Cordia obovata|Balf.f.|ACCEPTED|""|""|Cordia obovata|direct|WFO|wfo-0000620795
3407|GTS|Cordia oncocalyx|Allemão|Boraginaceae|Cordia|direct|WFO|wfo-0000620807|Cordia oncocalyx|Allemão|ACCEPTED|""|""|Cordia oncocalyx|direct|WFO|wfo-0000620807
3408|GTS|Cordia platythyrsa|Baker|Boraginaceae|Cordia|direct|WFO|wfo-0000620858|Cordia platythyrsa|Baker|ACCEPTED|""|""|Cordia platythyrsa|direct|WFO|wfo-0000620858
3409|GTS|Cordia rufescens|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000620916|Cordia rufescens|A.DC.|ACCEPTED|""|""|Cordia rufescens|direct|WFO|wfo-0000620916
3410|GTS|Cordia saccellia|Gottschling & J.S.Mill.|Boraginaceae|Cordia|direct|WFO|wfo-0000620923|Cordia saccellia|Gottschling & J.S.Mill.|ACCEPTED|""|""|Cordia saccellia|direct|WFO|wfo-0000620923
3411|GTS|Cordia sagotii|I.M.Johnst.|Boraginaceae|Cordia|direct|WFO|wfo-0000620924|Cordia sagotii|I.M.Johnst.|ACCEPTED|""|""|Cordia sagotii|direct|WFO|wfo-0000620924
3412|GTS|Cordia sebestena|L.|Boraginaceae|Cordia|direct|WFO|wfo-0000620951|Cordia sebestena|L.|ACCEPTED|""|""|Cordia sebestena|direct|WFO|wfo-0000620951
3413|GTS|Cordia sellowiana|Cham.|Boraginaceae|Cordia|direct|WFO|wfo-0000620960|Cordia sellowiana|Cham.|ACCEPTED|""|""|Cordia sellowiana|direct|WFO|wfo-0000620960
3414|GTS|Cordia senegalensis|Juss. ex Poir.|Boraginaceae|Cordia|direct|WFO|wfo-0000620962|Cordia senegalensis|Juss.|ACCEPTED|""|""|Cordia senegalensis|direct|WFO|wfo-0000620962
3415|GTS|Cordia sericicalyx|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000620965|Cordia sericicalyx|A.DC.|ACCEPTED|""|""|Cordia sericicalyx|direct|WFO|wfo-0000620965
3416|GTS|Cordia sinensis|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000620977|Cordia sinensis|Lam.|ACCEPTED|""|""|Cordia sinensis|direct|WFO|wfo-0000620977
3417|GTS|Cordia somaliensis|Baker|Boraginaceae|Cordia|direct|WFO|wfo-0000620981|Cordia somaliensis|Baker|ACCEPTED|""|""|Cordia somaliensis|direct|WFO|wfo-0000620981
3418|GTS|Cordia sonorae|Rose|Boraginaceae|Cordia|direct|WFO|wfo-0000620982|Cordia sonorae|Rose|ACCEPTED|""|""|Cordia sonorae|direct|WFO|wfo-0000620982
3419|GTS|Cordia subcordata|Lam.|Boraginaceae|Cordia|direct|WFO|wfo-0000621005|Cordia subcordata|Lam.|ACCEPTED|""|""|Cordia subcordata|direct|WFO|wfo-0000621005
3420|GTS|Cordia suckertii|Chiov.|Boraginaceae|Cordia|direct|WFO|wfo-0000621013|Cordia suckertii|Chiov.|ACCEPTED|""|""|Cordia suckertii|direct|WFO|wfo-0000621013
3421|GTS|Cordia sulcata|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000621016|Cordia sulcata|DC.|ACCEPTED|""|""|Cordia sulcata|direct|WFO|wfo-0000621016
3422|GTS|Cordia superba|Cham.|Boraginaceae|Cordia|direct|WFO|wfo-0000621019|Cordia superba|Cham.|ACCEPTED|""|""|Cordia superba|direct|WFO|wfo-0000621019
3423|GTS|Cordia tetrandra|Aubl.|Boraginaceae|Cordia|direct|WFO|wfo-0000621027|Cordia tetrandra|Aubl.|ACCEPTED|""|""|Cordia tetrandra|direct|WFO|wfo-0000621027
3424|GTS|Cordia tinifolia|Willd. ex Roem. & Schult.|Boraginaceae|Cordia|direct|WFO|wfo-0000621035|Cordia tinifolia|Roem. & Schult.|ACCEPTED|""|""|Cordia tinifolia|direct|WFO|wfo-0000621035
3425|GTS|Cordia trichoclada|A.DC.|Boraginaceae|Cordia|direct|WFO|wfo-0000621054|Cordia trichoclada|A.DC.|ACCEPTED|""|""|Cordia trichoclada|direct|WFO|wfo-0000621054
3426|GTS|Cordia trichotoma|(Vell.) Arráb. ex Steud.|Boraginaceae|Cordia|direct|WFO|wfo-0000621058|Cordia trichotoma|(Vell.) Steud.|ACCEPTED|""|""|Cordia trichotoma|direct|WFO|wfo-0000621058
3427|GTS|Cordia uncinulata|De Wild.|Boraginaceae|Cordia|direct|WFO|wfo-0000621078|Cordia uncinulata|De Wild.|ACCEPTED|""|""|Cordia uncinulata|direct|WFO|wfo-0000621078
3428|GTS|Cordia vestita|(A.DC.) Hook.f. & Thomson|Boraginaceae|Cordia|direct|WFO|wfo-0000621094|Cordia vestita|Hook.f. & Thomson|ACCEPTED|""|""|Cordia vestita|direct|WFO|wfo-0000621094
3429|GTS|Cordyla africana|Lour.|Fabaceae|Cordyla|direct|WFO|wfo-0000171442|Cordyla africana|Lour.|ACCEPTED|""|""|Cordyla africana|direct|WFO|wfo-0000171442
3430|GTS|Cordyla densiflora|Milne-Redh.|Fabaceae|Cordyla|direct|WFO|wfo-0000171454|Cordyla densiflora|Milne-Redh.|ACCEPTED|""|""|Cordyla densiflora|direct|WFO|wfo-0000171454
3431|GTS|Cordyla pinnata|(A.Rich.) Milne-Redh.|Fabaceae|Cordyla|direct|WFO|wfo-0000171464|Cordyla pinnata|(A.Rich.) Milne-Redh.|ACCEPTED|""|""|Cordyla pinnata|direct|WFO|wfo-0000171464
3432|GTS|Cordyla richardii|Planch. ex Milne-Redh.|Fabaceae|Cordyla|direct|WFO|wfo-0000171475|Cordyla richardii|Planch. ex Milne-Redh.|ACCEPTED|""|""|Cordyla richardii|direct|WFO|wfo-0000171475
3433|GTS|Cordyla somalensis|J.B.Gillett|Fabaceae|Cordyla|direct|WFO|wfo-0000171486|Cordyla somalensis|J.B.Gillett|ACCEPTED|""|""|Cordyla somalensis|direct|WFO|wfo-0000171486
3434|GTS|Cordyline australis|(G.Forst.) Endl.|Asparagaceae|Cordyline|direct|WFO|wfo-0000764205|Cordyline australis|(G.Forst.) Endl.|ACCEPTED|""|""|Cordyline australis|direct|WFO|wfo-0000764205
3435|GTS|Cordyline fruticosa|(L.) A.Chev.|Asparagaceae|Cordyline|direct|WFO|wfo-0000764243|Cordyline fruticosa|(L.) A.Chev.|ACCEPTED|""|""|Cordyline fruticosa|direct|WFO|wfo-0000764243
3436|GTS|Cordyline indivisa|(G.Forst.) Endl.|Asparagaceae|Cordyline|direct|WFO|wfo-0000764257|Cordyline indivisa|(G.Forst.) Endl.|ACCEPTED|""|""|Cordyline indivisa|direct|WFO|wfo-0000764257
3437|GTS|Cordyline stricta|(Sims) Endl.|Asparagaceae|Cordyline|direct|WFO|wfo-0000764313|Cordyline stricta|(Sims) Endl.|ACCEPTED|""|""|Cordyline stricta|direct|WFO|wfo-0000764313
3438|GTS|Coriaria arborea|Linds.|Coriariaceae|Coriaria|direct|WFO|wfo-0000924510|Coriaria arborea|Linds.|ACCEPTED|""|""|Coriaria arborea|direct|WFO|wfo-0000924510
3439|GTS|Cornus alternifolia|L.f.|Cornaceae|Cornus|direct|WFO|wfo-0000924582|Cornus alternifolia|L.f.|ACCEPTED|""|""|Cornus alternifolia|direct|WFO|wfo-0000924582
3440|GTS|Cornus asperifolia|Michx.|Cornaceae|Cornus|direct|WFO|wfo-0000924590|Cornus asperifolia|Michx.|ACCEPTED|""|""|Cornus asperifolia|direct|WFO|wfo-0000924590
3441|GTS|Cornus capitata|Wall.|Cornaceae|Cornus|direct|WFO|wfo-0000924614|Cornus capitata|Wall.|ACCEPTED|""|""|Cornus capitata|direct|WFO|wfo-0000924614
3442|GTS|Cornus chinensis|Wangerin|Cornaceae|Cornus|direct|WFO|wfo-0000924625|Cornus chinensis|Wangerin|ACCEPTED|""|""|Cornus chinensis|direct|WFO|wfo-0000924625
3443|GTS|Cornus controversa|Hemsl.|Cornaceae|Cornus|direct|WFO|wfo-0000924640|Cornus controversa|Hemsl.|ACCEPTED|""|""|Cornus controversa|direct|WFO|wfo-0000924640
3444|GTS|Cornus disciflora|Moc. & Sessé ex DC.|Cornaceae|Cornus|direct|WFO|wfo-0000924655|Cornus disciflora|Moc. & Sessé ex DC.|ACCEPTED|""|""|Cornus disciflora|direct|WFO|wfo-0000924655
3445|GTS|Cornus drummondii|C.A.Mey.|Cornaceae|Cornus|direct|WFO|wfo-0000924658|Cornus drummondii|C.A.Mey.|ACCEPTED|""|""|Cornus drummondii|direct|WFO|wfo-0000924658
3446|GTS|Cornus excelsa|Kunth|Cornaceae|Cornus|direct|WFO|wfo-0000924664|Cornus excelsa|Kunth|ACCEPTED|""|""|Cornus excelsa|direct|WFO|wfo-0000924664
3447|GTS|Cornus florida|L.|Cornaceae|Cornus|direct|WFO|wfo-0000924674|Cornus florida|L.|ACCEPTED|""|""|Cornus florida|direct|WFO|wfo-0000924674
3448|GTS|Cornus foemina|Mill.|Cornaceae|Cornus|direct|WFO|wfo-0000924689|Cornus foemina|Mill.|ACCEPTED|""|""|Cornus foemina|direct|WFO|wfo-0000924689
3449|GTS|Cornus glabrata|Benth.|Cornaceae|Cornus|direct|WFO|wfo-0000924696|Cornus glabrata|Benth.|ACCEPTED|""|""|Cornus glabrata|direct|WFO|wfo-0000924696
3450|GTS|Cornus hemsleyi|C.K.Schneid. & Wangerin|Cornaceae|Cornus|direct|WFO|wfo-0000924700|Cornus hemsleyi|C.K.Schneid. & Wangerin|ACCEPTED|""|""|Cornus hemsleyi|direct|WFO|wfo-0000924700
3451|GTS|Cornus hongkongensis|Hemsl.|Cornaceae|Cornus|direct|WFO|wfo-0000924709|Cornus hongkongensis|Hemsl.|ACCEPTED|""|""|Cornus hongkongensis|direct|WFO|wfo-0000924709
3452|GTS|Cornus macrophylla|Wall.|Cornaceae|Cornus|direct|WFO|wfo-0000924758|Cornus macrophylla|Wall.|ACCEPTED|""|""|Cornus macrophylla|direct|WFO|wfo-0000924758
3453|GTS|Cornus mas|L.|Cornaceae|Cornus|direct|WFO|wfo-0000924760|Cornus mas|L.|ACCEPTED|""|""|Cornus mas|direct|WFO|wfo-0000924760
3454|GTS|Cornus nuttallii|Audubon ex Torr. & A.Gray|Cornaceae|Cornus|direct|WFO|wfo-0000924781|Cornus nuttallii|Audubon ex Torr. & A.Gray|ACCEPTED|""|""|Cornus nuttallii|direct|WFO|wfo-0000924781
3455|GTS|Cornus oblonga|Wall.|Cornaceae|Cornus|direct|WFO|wfo-0000924783|Cornus oblonga|Wall.|ACCEPTED|""|""|Cornus oblonga|direct|WFO|wfo-0000924783
3456|GTS|Cornus officinalis|Siebold & Zucc.|Cornaceae|Cornus|direct|WFO|wfo-0000924789|Cornus officinalis|Siebold & Zucc.|ACCEPTED|""|""|Cornus officinalis|direct|WFO|wfo-0000924789
3457|GTS|Cornus rugosa|Lam.|Cornaceae|Cornus|direct|WFO|wfo-0000924827|Cornus rugosa|Lam.|ACCEPTED|""|""|Cornus rugosa|direct|WFO|wfo-0000924827
3458|GTS|Cornus sessilis|Torr.|Cornaceae|Cornus|direct|WFO|wfo-0000924846|Cornus sessilis|Torr.|ACCEPTED|""|""|Cornus sessilis|direct|WFO|wfo-0000924846
3459|GTS|Cornus volkensii|Harms|Cornaceae|Cornus|direct|WFO|wfo-0000924882|Cornus volkensii|Harms|ACCEPTED|""|""|Cornus volkensii|direct|WFO|wfo-0000924882
3460|GTS|Cornus walteri|Wangerin|Cornaceae|Cornus|direct|WFO|wfo-0000924883|Cornus walteri|Wangerin|ACCEPTED|""|""|Cornus walteri|direct|WFO|wfo-0000924883
3461|GTS|Cornus wilsoniana|Wangerin|Cornaceae|Cornus|direct|WFO|wfo-0000924886|Cornus wilsoniana|Wangerin|ACCEPTED|""|""|Cornus wilsoniana|direct|WFO|wfo-0000924886
3462|GTS|Cornutia odorata|(Poepp.) Schauer|Lamiaceae|Cornutia|direct|WFO|wfo-0000924934|Cornutia odorata|Poepp. ex Schauer|ACCEPTED|""|""|Cornutia odorata|direct|WFO|wfo-0000924934
3463|GTS|Cornutia pyramidata|L.|Lamiaceae|Cornutia|direct|WFO|wfo-0000924940|Cornutia pyramidata|L.|ACCEPTED|""|""|Cornutia pyramidata|direct|WFO|wfo-0000924940
